Datum,Biomasse,Wasserkraft,Wind Offshore,Wind Onshore,Photovoltaik,Sonstige Erneuerbare,Braunkohle,Steinkohle,Erdgas,Pumpspeicher,Sonstige Konventionelle,Realisierte Erzeugung,Prognostizierter Stromverbrauch,Realisierter Stromverbrauch
01.01.2015,3006253.0,1160768.75,261972.25,9081274.75,559673.5,97758.25,11800178.5,6387684.5,1405692.5,862461.0,5424207.0,40047924.0,41575670.5,45142690.25
01.02.2015,2701292.75,866154.0,282760.0,4865703.75,1371004.25,83894.5,11249758.0,7886900.0,1615355.25,756012.75,5815809.75,37494645.0,38835534.75,42095506.5
01.03.2015,2945423.25,1026580.5,432080.75,6491865.5,2858577.25,71699.5,12177191.25,7320070.5,1359916.25,900734.75,5460914.5,41045054.0,42257557.75,44331785.0
01.04.2015,2855391.5,1242024.0,378500.25,4624380.5,4435389.0,95564.25,10200744.5,5994326.25,850204.0,823908.25,4534967.25,36035399.75,38528335.0,40041540.0
01.05.2015,2944932.75,1528050.0,565152.75,4697643.0,4411590.0,80552.5,8935801.5,4295094.75,866141.5,898907.25,3889602.5,33113468.5,37798975.75,39296911.0
01.06.2015,2750167.0,1511476.5,481568.25,3613536.25,4552823.25,78796.0,9783882.0,5766222.5,785123.75,876902.75,4372239.0,34572737.25,36070582.0,39224434.0
01.07.2015,2806556.75,1399178.5,707907.25,5155261.25,4917503.0,71349.5,11028701.25,6224533.5,1135721.25,858051.5,4329391.25,38634155.0,39775330.0,41394974.0
01.08.2015,2782948.0,1211468.0,570979.25,3287051.25,4612571.25,65168.0,11690166.0,6408935.5,854289.75,803134.75,3290550.75,35577262.5,39054109.5,40015228.0
01.09.2015,2786036.5,1081215.5,768401.5,4779230.25,3226526.0,63932.0,12245022.75,7751897.25,880400.0,731724.0,4181930.0,38496315.75,38783767.5,40354012.25
01.10.2015,2954435.75,997070.25,888200.5,3094880.75,1946347.25,67705.0,12858702.5,9756305.25,1759365.5,842649.5,4321350.5,39487012.75,40371291.5,42769262.25
01.11.2015,2884210.75,811490.75,1293592.5,9260816.25,1136483.75,68340.75,11069426.25,7112675.75,1901774.25,791342.5,3878106.25,40208259.75,40862761.75,43290604.5
01.12.2015,3430277.75,883867.25,1503263.0,10090449.75,850929.5,100869.5,10758163.25,6234036.25,1811953.75,791388.5,3469493.75,39924692.25,41267823.75,42262554.75
01.01.2016,3417811.75,973685.0,1386327.5,8019670.75,654314.25,134546.25,11762658.25,8065580.5,2456384.0,769005.25,3954738.5,41594722.0,41499763.75,44951910.75
01.02.2016,3264543.5,1128392.25,1156111.0,8740726.5,1257146.75,117662.0,10601949.75,6528957.25,1684999.0,713561.75,3588929.75,38782979.5,40105448.0,42798190.75
01.03.2016,3493303.5,1360482.5,853293.5,5183700.75,2414153.25,141822.5,11022928.25,7819393.25,1506571.0,667735.5,4823185.25,39286569.25,40990405.25,43741831.75
01.04.2016,3333708.25,1622341.0,887579.0,5088403.25,3751535.5,120492.5,10742445.75,6669303.0,1130960.75,657759.75,3315025.5,37319554.25,37649592.0,40576074.75
01.05.2016,3354054.0,1876763.0,936948.25,5207618.5,4716765.25,112124.25,10058851.25,5326789.0,1188229.5,682145.25,3190201.5,36650489.75,37356620.0,40147380.75
01.06.2016,3141854.25,1905971.0,566127.75,2789261.5,4741340.5,94769.25,9580801.75,6660849.0,1116914.25,720272.25,3234624.5,34552786.0,37603656.5,39703667.0
01.07.2016,3201577.25,2084538.75,796116.25,3931996.0,4942811.5,80876.5,10626626.5,5881945.5,1152714.0,694922.5,3282899.25,36677024.0,38614322.0,40551197.75
01.08.2016,3248125.25,2029584.0,879303.75,3914800.75,4719893.25,94940.75,10533579.25,5409507.0,1767616.75,709623.25,3102854.0,36409828.0,38069074.5,40132670.25
01.09.2016,3132994.0,1584818.75,710972.25,3507530.0,3848414.0,97162.0,11008452.25,6590782.5,2379839.75,673271.5,3738077.0,37272314.0,37914680.0,39402839.75
01.10.2016,3342691.25,1188015.25,1304622.25,4343989.75,1679735.5,123847.75,11808651.75,7079270.75,2736050.25,708544.0,5258950.5,39574369.0,39998590.5,42262730.0
01.11.2016,3285180.75,1184424.25,1316922.5,6669801.75,1020888.0,140390.25,11553166.25,7494497.75,2626356.75,737186.0,4975011.0,41003825.25,41820738.75,44377660.0
01.12.2016,3529615.25,1136843.75,1298814.0,7877245.75,791938.5,144829.0,11075485.75,7363088.5,3142160.25,853586.25,4781830.25,41995437.25,41681296.5,44437478.25
01.01.2017,3538847.75,857085.75,1230811.25,6537027.5,798422.25,143007.75,11680618.25,9528848.25,3726353.75,943923.5,1116391.5,40101337.5,44061384.5,47301200.25
01.02.2017,3309601.0,893765.25,1899418.75,7974597.25,1484969.0,169841.0,10507497.25,7034393.75,2522128.0,728857.75,1003859.5,37528928.5,40939724.5,42100201.0
01.03.2017,3570500.5,1237295.25,1487019.75,7844275.25,3230598.5,168431.5,11530155.25,5885619.25,2191162.75,850219.75,1067299.0,39062576.75,43019250.25,44319006.0
01.04.2017,3422009.0,1155622.5,1395689.25,6688391.75,3856853.75,158481.25,10910745.75,4581378.5,1787657.5,800464.0,1002279.75,35759573.0,38199680.0,39933859.5
01.05.2017,3433313.25,1510106.0,1207361.0,4434810.75,5120312.25,148759.25,10874074.0,5433327.25,1773670.5,796230.5,976241.25,35708206.0,39566667.25,41034028.75
01.06.2017,3213339.25,1502296.5,1248287.5,5856511.25,5366860.5,118589.25,10125064.75,3829719.25,1655950.75,832773.0,861530.5,34610922.5,38587045.5,39360481.25
